Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northcentral,Clinton,Leidy Township,EASTERN GAS TRANS & STORAGE INC,FINNEFROCK STA,241263,EASTERN GAS TRANS & STORAGE INC/FINNEFROCK STA,244957,Y,Renewal,Title V Operating Permit,,ISSU,2023-07-05 00:00:00,2023-11-21 00:00:00,2028-11-20 00:00:00,1446595[18-00005]_Issued_v1.pdf
Northcentral,Clinton,Leidy Township,EASTERN GAS TRANS & STORAGE INC,EGTS LEIDY STA,241258,EASTERN GAS TRANS & STORAGE INC/LEIDY STA,244948,Y,Renewal,Title V Operating Permit,,ISSU,2020-10-23 00:00:00,2021-05-27 00:00:00,2026-05-26 00:00:00,1331659[18-00006]_Issued_v1.pdf
Northcentral,Clinton,Wayne Township,BRODART CO,FIRST QUALITY PRODUCTS INC,1571,BRODART CO/MCELHATTAN PLT,2016,N,Renewal,Title V Operating Permit,,ISSU,2021-06-09 00:00:00,2022-04-28 00:00:00,2027-04-27 00:00:00,1358633[18-00007]_Issued_v1.pdf
Northcentral,Clinton,Wayne Township,CLINTON CNTY SWA,WAYNE TWP LDFL,237861,CLINTON CNTY SOLID W/WAYNE TWP LDFL,509874,Y,Renewal,Title V Operating Permit,,ISSU,2023-01-27 00:00:00,2024-01-31 00:00:00,2029-01-30 00:00:00,1425405[18-00009]_Issued_v1.pdf
Northcentral,Columbia,Jackson Township,TRANSCONTINENTAL GAS PIPE LINE CO LLC,JACKSON TWP STA 517,3275,TRANSCONTINENTAL GAS/JACKSON TWP STA 517,4433,Y,"Modification, Significant",Title V Operating Permit,,ISSU,2022-12-29 00:00:00,2024-01-08 00:00:00,2025-10-19 00:00:00,1422490[19-00007]_Issued_v1.pdf
Northcentral,Columbia,South Centre Township,ALTOR SOLUTIONS,FOAM FABRICATORS,1461,FOAM FABRICATORS INC/BLOOMSBURG PLT,1880,Y,Amendment,Title V Operating Permit,,ISSU,2025-01-10 00:00:00,2025-02-11 00:00:00,2027-01-19 00:00:00,1514656[19-00002]_Issued_v1.pdf
Northcentral,Lycoming,Brady Township,LYCOMING CNTY,LYCOMING CNTY RESOURCE MGMT SVC,269308,LYCOMING CNTY RESOUR/LYCOMING CNTY LDFL,493380,Y,Renewal,Title V Operating Permit,,ISSU,2023-11-03 00:00:00,2025-02-27 00:00:00,2030-02-26 00:00:00,1461654[41-00025]_Issued_v1.pdf
Northcentral,Lycoming,Brady Township,NEXTERA RENEWABLE FUELS LLC,LYCOMING CNTY RESOURCE MGMT SVC,269308,NEXTERA RENEWABLE FUELS LLC/LYCO LANDFILL LFGTE PLT,741868,Y,Renewal,Title V Operating Permit,,ISSU,2023-09-21 00:00:00,2024-11-13 00:00:00,2029-11-12 00:00:00,1456235[41-00082]_Issued_v1.pdf
Northcentral,Lycoming,Clinton Township,KOPPERS INC,KOPPERS SUSQUEHANNA PLT,242111,KOPPERS INC/COGEN PLT,246200,N,Renewal,Title V Operating Permit,,ISSU,2005-06-29 00:00:00,2010-04-28 00:00:00,2015-04-27 00:00:00,596879[41-00002]_Issued_v1.pdf
Northcentral,Lycoming,Clinton Township,SPRINGS WINDOW FASHIONS LLC,SPRING WINDOW FASHIONS LLC,248327,SPRINGS WINDOW FASHIONS/MONTGOMERY PLT,493354,N,Renewal,Title V Operating Permit,,ISSU,2006-01-09 00:00:00,2010-12-29 00:00:00,2015-12-28 00:00:00,617604[41-00018]_Issued_v1.pdf
Northcentral,Lycoming,Mifflin Township,TRANSCONTINENTAL GAS PIPE LINE CO LLC,TRANSCONTINENTAL GAS PIPELINE CO LLC (STA 520),3239,TRANSCONTINENTAL GAS/SALLADASBURG STATION 520,4385,Y,"Modification, Significant",Title V Operating Permit,,ISSU,2022-12-29 00:00:00,2023-12-15 00:00:00,2025-05-13 00:00:00,1422491[41-00001]_Issued_v1.pdf
Northcentral,Lycoming,Williamsport City,CHANCE GROUP LLC,CHANCE ALUMINUM,2054,CHANCE ALUM CORP/WILLIAMSPORT PLT,2720,Y,Renewal,Title V Operating Permit,,ISSU,2022-07-14 00:00:00,2023-02-15 00:00:00,2028-02-14 00:00:00,1402967[41-00013]_Issued_v2.pdf
Northcentral,Lycoming,Williamsport City,HIGH STEEL STRUCTURES INC,HIGH STEEL STRUCTURES,1479,HIGH STEEL STRUCTURES/WILLIAMSPORT PLT 3,1903,Y,Renewal,Title V Operating Permit,,ISSU,2021-05-18 00:00:00,2022-03-17 00:00:00,2027-03-16 00:00:00,1355207[41-00006]_Issued_v3.pdf
Northcentral,Lycoming,Williamsport City,LYCOMING ENGINES,LYCOMING ENGINES- OLIVER ST PLT,2887,LYCOMING ENGINES/OLIVER ST PLT,3897,Y,Renewal,Title V Operating Permit,,ISSU,2024-02-15 00:00:00,2025-05-06 00:00:00,2030-05-05 00:00:00,1473176[41-00005]_Issued_v1.pdf
Northcentral,Lycoming,Woodward Township,PLASTIC DEV CO OF PA,PLASTIC DEV CO WILLIAMSPORT PLT,3382,PLASTIC DEV CO/WILLIAMSPORT PLT,4588,Y,Amendment,Title V Operating Permit,,ISSU,2023-07-17 00:00:00,2023-08-10 00:00:00,2027-12-05 00:00:00,1448627[41-00016]_Issued_v1.pdf
Northcentral,Montour,Derry Township,MONTOUR LLC,MONTOUR LLC,247875,MONTOUR LLC/MONTOUR SES,254018,Y,Renewal,Title V Operating Permit,,ISSU,2023-06-28 00:00:00,2025-04-23 00:00:00,2030-04-22 00:00:00,1446268[47-00001]_Issued_v1.pdf
